question,tag
1,environment
1,earth-like
1,climate
1,mountains
1,altitude
2,worldbuilding-process
3,society
3,colonies
3,humans
8,technology
8,magic
10,magic
10,ethics
10,law
10,modern-age
13,communication
13,medieval-europe
16,space
16,travel
17,environment
17,weather
18,cities
18,natural-growth
20,biology
20,armors
20,insectoid
29,astronomy
29,atmosphere
40,reality-check
40,planets
40,geography
42,communication
43,environment
43,evolution
43,society
46,science-based
46,planets
58,language
68,ships
68,shipbuilding
68,hydrodynamics
71,planets
71,moons
79,technology
79,computers
82,warfare
82,teleportation
85,warfare
85,space-travel
85,apocalypse
85,military-defense
85,spaceships
93,cities
94,planets
94,culture
96,government
98,environment
98,spaceships
98,water
98,generation-ships
103,government
104,geography
104,psychology
104,travel
111,planets
111,society
111,space
111,stars
123,science-based
123,biology
123,physics
125,cities
125,software-recommendations
125,cartography
127,society
127,magic
127,medieval
127,medieval-europe
127,classical-elements
128,science-based
128,technology
128,environment
128,natural-resources
133,geography
133,extreme-terrain
143,evolution
143,races
144,society
144,biology
144,technology
144,cities
144,sex
146,space
146,aliens
146,civilization
146,communication
152,geography
152,currents
157,planets
157,humans
157,colonies
157,day-night
157,adaptability
158,biology
158,planets
158,humans
158,gravity
158,adaptability
159,cities
159,history
159,demographics
159,wild-west
159,boomtowns
166,worldbuilding-process
166,rpg
176,science-based
176,planets
176,astronomy
176,orbital-mechanics
176,seasons
177,colonies
177,weather
177,environment
186,mythical-creatures
186,military-defense
186,flight
186,medieval-europe
196,warfare
196,weapons
196,tactics
197,software-recommendations
197,map-making
206,magic
206,warfare
206,ships
216,economy
218,society
218,rpg
218,economy
222,technology
222,civilization
229,warfare
229,flight
229,steampunk
229,airships
243,planets
243,gravity
263,magic
263,military-defense
263,ships
264,magic
264,ships
269,language
269,culture
270,science-based
270,planets
270,terraforming
275,planets
275,dyson-spheres
289,society
289,map-making
289,population
299,fauna
299,herd
299,natural-resources
299,domestication
302,evolution
302,civilization
302,kardashev-scale
307,science-based
307,humans
307,environment
307,cities
307,colonies
313,science-based
313,biology
313,creature-design
313,mythical-creatures
313,dragons
316,science-based
316,biology
316,creature-design
316,evolution
316,scaling
317,science-based
317,biology
317,evolution
317,creature-design
317,underwater
320,science-based
320,evolution
320,fauna
325,science-based
339,planets
339,science-based
339,biology
339,geography
339,climate
342,science-based
342,biology
342,moons
351,environment
351,worldbuilding-process
351,map-making
355,planets
355,science-based
355,biology
358,science-based
358,planets
358,environment
363,science-based
363,space
363,physics
363,spaceships
363,faster-than-light
371,evolution
371,society
371,civilization
372,magic
372,natural-resources
372,economy
377,spaceships
377,space-travel
377,generation-ships
380,science-based
380,biology
380,humans
380,diseases
380,colonies
381,planets
381,map-making
382,economy
382,psychology
382,currency
394,environment
394,psychology
394,humans
394,biology
400,planets
400,geography
404,science-based
404,biology
404,creature-design
404,mythical-creatures
404,dragons
406,science-based
406,technology
408,economy
408,currency
409,map-making
409,caves
409,underground
416,science-based
416,reality-check
416,biology
416,cities
416,forestry
420,society
420,culture
420,psychology
425,magic
425,energy
426,warfare
449,shapeshifters
453,science-based
453,apocalypse
453,nanotechnology
456,planets
456,physics
456,astronomy
456,orbits
457,science-based
457,physics
457,caves
462,science-based
462,biology
462,invisibility
463,biology
463,flora
475,biology
475,gravity
475,flora
480,gravity
480,natural-growth
484,science-based
484,physics
484,communication
484,faster-than-light
491,science-based
491,physics
491,space-travel
491,faster-than-light
493,science-based
493,scaling
495,science-based
495,creature-design
495,telepathy
499,worldbuilding-resources
499,software-recommendations
501,technology
501,society
519,science-based
519,magic
519,physics
527,society
527,reality-check
527,culture
527,civilization
527,history
532,science-based
532,population
532,ethics
532,generation-ships
541,biology
541,evolution
541,natural-weapons
542,biology
542,society
542,culture
542,psychology
543,biology
543,society
543,evolution
559,science-based
559,warfare
559,space-travel
559,faster-than-light
562,science-based
562,biology
562,environment
562,cities
562,food
565,science-based
565,biology
565,evolution
565,flora
569,science-based
569,aliens
569,biology
571,society
571,religion
